,id,scientificName,scientificNameAuthorship,decimalLongitude,decimalLatitude,scientificNameID,absence,aphiaID,basisOfRecord,brackish,category,class,classid,continent,country,dataset_id,family,familyid,genus,genusid,higherGeography,identificationReferences,kingdom,kingdomid,locality,marine,node_id,occurrenceID,order,orderid,originalScientificName,phylum,phylumid,sampleSizeUnit,samplingProtocol,species,speciesid,subphylum,subphylumid,superclass,superclassid,terrestrial,waterBody,year,flags
9404,66f0ab13-1cdb-4cf9-bd33-d7b46a84f22f,Balaenoptera physalus,"(Linnaeus, 1758)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1947_1983,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1983,no_depth
9407,66f34eb9-1309-4e47-bb03-c04d22fc9001,Eumetopias jubatus,"(Schreber, 1776)",-173.50056,52.09694,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Wynne, 2005 #1118}",Animalia,2,Central Aleutian Islands,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2203_2007,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Aerial surveys,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2007,"no_depth,on_land"
9414,6708f39f-df22-42f8-961f-f06d40519d23,Balaena mysticetus,"Linnaeus, 1758",-168.74028,63.70389,urn:lsid:marinespecies.org:taxname:137086,False,137086,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenidae,136978.0,Balaena,137012.0,United States,"{Gotthardt, 2006 #1137}",Animalia,2,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock)",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2188_1982,Cetartiodactyla,370511.0,Balaena mysticetus,Chordata,1821,Number of individuals,unspecified,Balaena mysticetus,137086.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1982,no_depth
9418,671764d9-5ef5-4005-8e47-5f494b23d1f2,Balaenoptera borealis,"Lesson, 1828",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137088,False,137088,HumanObservation,,EN,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1943_1990,Cetartiodactyla,370511.0,Balaenoptera borealis,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera borealis,137088.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1990,no_depth
9421,671b5ea6-bb1e-4cbf-a720-d563b7fcff65,Balaena mysticetus,"Linnaeus, 1758",-165.58333,71.32306,urn:lsid:marinespecies.org:taxname:137086,False,137086,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenidae,136978.0,Balaena,137012.0,United States,"{Angliss, 2006 #1434}",Animalia,2,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock).",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2186_2002,Cetartiodactyla,370511.0,Balaena mysticetus,Chordata,1821,Number of individuals,Estimate from ice based census counts.,Balaena mysticetus,137086.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2002,no_depth
9424,67205977-9f0a-4ce3-9ebe-fb32ee376f05,Pusa hispida,"Nordquist, 1899",-141.0,75.0,urn:lsid:marinespecies.org:taxname:159021,False,159021,HumanObservation,False,,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Pusa,159020.0,"Canada, United States","{Stirling, 2002 #848}",Animalia,2,eastern Beaufort Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4545_1961,Carnivora,2687.0,Pusa hispida,Chordata,1821,Seals per 100km��,Unspecified,Pusa hispida,159021.0,Vertebrata,146419,Tetrapoda,1831,False,Arctic,1961,no_depth
9437,6744323e-baeb-48ba-afb7-3eff3352b075,Eumetopias jubatus,"(Schreber, 1776)",-151.78444,56.97389,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Wynne, 2005 #1118}",Animalia,2,Western Gulf of Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2209_1968,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Aerial surveys,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1968,no_depth
9438,67448a98-362a-45bc-abcb-1097e2c8bb05,Eumetopias jubatus,"(Schreber, 1776)",-173.50056,52.09694,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Wynne, 2005 #1118}",Animalia,2,Central Aleutian Islands,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2203_1958,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Aerial surveys,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1958,"no_depth,on_land"
9445,6751e3aa-a225-4844-89cb-3bfe8ef41ad2,Balaenoptera physalus,"(Linnaeus, 1758)",-47.0,60.13333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Greenland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Greenland,"{Meredith, 1988 #527}",Animalia,2,Greenland,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1945_2001,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Unknown,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2001,no_depth
9449,676d1ff4-95f9-452a-8f68-d19589653530,Enhydra lutris,"Linnaeus, 1758",178.30278,51.78806,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Rat Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4805_1952,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1952,"no_depth,on_land"
9451,6772ca20-6243-4363-8e47-141641316e1e,Megaptera novaeangliae,"Borowski, 1781",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137092,False,137092,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Megaptera,137014.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Islands, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6421_2008,Cetartiodactyla,370511.0,Megaptera novaeangliae,Chordata,1821,frequency of group sightings,boat based survey,Megaptera novaeangliae,137092.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2008,no_depth
9464,67a1cd0b-5206-48fc-a20e-b08c928ffdc7,Phoca vitulina,"Linnaeus, 1758",19.90361,63.30278,urn:lsid:marinespecies.org:taxname:137084,False,137084,HumanObservation,True,,Mammalia,1837,Europe,Sweden,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Phoca,137010.0,Sweden,"{Normander, 2009 #1846}",Animalia,2,Northern Sweden,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8322_1951,Carnivora,2687.0,Phoca vitulina,Chordata,1821,Number of Individuals,Unknown,Phoca vitulina,137084.0,Vertebrata,146419,Tetrapoda,1831,,Atlantic north temperate,1951,no_depth
9465,67a339cd-11ad-49a2-9ad6-2b91cf8e02fd,Enhydra lutris,"Linnaeus, 1758",-176.19556,51.87278,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Andreanof Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4807_2003,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2003,"no_depth,on_land"
9467,67b0c814-4bb2-4cf8-a66c-c060c0453c91,Pusa hispida,"Nordquist, 1899",-141.0,75.0,urn:lsid:marinespecies.org:taxname:159021,False,159021,HumanObservation,False,,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Pusa,159020.0,"Canada, United States","{Stirling, 2002 #848}",Animalia,2,eastern Beaufort Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4545_1983,Carnivora,2687.0,Pusa hispida,Chordata,1821,Seals per 100km��,Unspecified,Pusa hispida,159021.0,Vertebrata,146419,Tetrapoda,1831,False,Arctic,1983,no_depth
9471,67c8c91e-93b1-4104-bc2b-ab3f4f909f63,Balaenoptera musculus,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137090,False,137090,HumanObservation,,EN,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1944_1965,Cetartiodactyla,370511.0,Balaenoptera musculus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera musculus,137090.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1965,no_depth
9484,67f2a8c5-b931-4a7a-a636-a7d0af3b7136,Balaenoptera physalus,"(Linnaeus, 1758)",-56.0,55.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Canada,"{Meredith, 1988 #527}",Animalia,2,Newfoundland,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1948_1969,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Inidividuals,Unknown,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Atlantic north temperate,1969,no_depth
9487,67fa2635-32f2-4c15-b1b8-f634a6c67fb6,Callorhinus ursinus,"Linnaeus, 1758",-170.24667,57.4,urn:lsid:marinespecies.org:taxname:254997,False,254997,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Callorhinus,254996.0,United States,"{Towell, 2008 #2295}",Animalia,2,"St. Paul Island (in the Pribilof Islands part of the Aleutian Islands), Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4817_2009,Carnivora,2687.0,Callorhinus ursinus,Chordata,1821,number of individuals,Adult male direct count,Callorhinus ursinus,254997.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2009,no_depth
9488,67fc7ed3-b5cc-40f3-90a3-d88b433a00b5,Enhydra lutris,"Linnaeus, 1758",-163.76667,55.2,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"North Alaskan Peninsula, southwest (offshore)",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9803_1970,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Estimated abundance,Arial survey (strip transects),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1970,no_depth
9490,680245db-42c7-4b95-92b2-18592ee074ec,Enhydra lutris,"Linnaeus, 1758",-176.64028,51.78444,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Anthony, 2008 #2297}",Animalia,2,"Adak Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9813_1990,Carnivora,2687.0,Enhydra lutris,Chordata,1821,No. of otters/km of coastline,Unknown,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1990,"no_depth,on_land"
9492,680735e2-ce96-46a6-a297-30644e6e3d63,Enhydra lutris,"Linnaeus, 1758",-176.64028,51.78444,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Anthony, 2008 #2297}",Animalia,2,"Adak Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9813_1959,Carnivora,2687.0,Enhydra lutris,Chordata,1821,No. of otters/km of coastline,Unknown,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1959,"no_depth,on_land"
9493,680c423b-7c61-4702-a490-24947c8dc90a,Ursus maritimus,"Phipps, 1774",-125.73556,75.37972,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Stirling, 2007 #1806}",Animalia,2,Northern beaufort sea population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8084_1982,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Population estimate,Modelled estimated during intensive capture years,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1982,no_depth
9496,68107942-5f8b-4a0f-b7dc-e409a14a1db4,Eumetopias jubatus,"(Schreber, 1776)",-151.78444,56.97389,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Wynne, 2005 #1118}",Animalia,2,Western Gulf of Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2209_1998,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Aerial surveys,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1998,no_depth
9499,68176e2c-9552-4202-b384-ec79e29e1bfd,Enhydra lutris,"Linnaeus, 1758",-157.15,56.71667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska peninsula, False Pass to Cape Douglas, coastal",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9807_1951,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1951,no_depth
9501,681af410-c8e8-4e11-b7f5-7c2bce67b995,Delphinapterus leucas,"Pallas, 1776",-160.0,58.0,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,United States,"{Trites, 1999 #1136}",Animalia,2,East Bering Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2192_2011,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,Number of individuals,Unknown,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2011,no_depth
9509,6834c8a9-cd8e-4757-8076-de436b67f51c,Ursus maritimus,"Phipps, 1774",-88.5,63.16667,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Aars, 2005 #1802}",Animalia,2,Western Hudson Bay population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8076_1989,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Population size,Capture-recapture data modelled,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1989,no_depth
9516,6856e62d-3fd7-4b63-b71f-5cf08205ade5,Odobenus rosmarus,"Illiger, 1815",-172.61,53.58111,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,United States,"{Seitz, 1995 #1102}",Animalia,2,Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2217_1957,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Unknown,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1957,no_depth
9517,685d5c20-c665-4961-bc9f-aa84b6b32838,Balaenoptera physalus,"(Linnaeus, 1758)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1947_1987,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1987,no_depth
9523,687c3992-c47b-4ace-84a3-a9fe2e6aa00d,Balaenoptera acutorostrata,"LacǸp��de, 1804",36.0,74.0,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,Europe,Norway,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Norway,"{Michalsen, 2004 #1309}",Animalia,2,"Barentshavet, Gr��nlandshavet, Norskehavet og Nordsj��en",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2365_1992,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Individuals,Population Estimate,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1992,no_depth
9525,6885220e-0c52-4cbf-8b6f-1033ef50e3ab,Balaenoptera acutorostrata,"LacǸp��de, 1804",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6420_1974,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Frequency of sightings of group per year,boat based survey,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1974,no_depth
9536,68a025cc-3eb2-491b-bcb8-82fa105fe8ec,Enhydra lutris,"Linnaeus, 1758",-162.01667,54.86667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska Peninsula, coastline of 22 islands",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9806_2000,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2000,no_depth
9538,68a44491-6761-4551-8165-ddfcf6c4e1db,Balaenoptera physalus,"(Linnaeus, 1758)",-47.0,60.13333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Greenland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Greenland,"{Meredith, 1988 #527}",Animalia,2,Greenland,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1945_1961,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Unknown,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1961,no_depth
9544,68b91f53-19f0-4d77-9f15-05e2d26afe93,Eschrichtius robustus,"Lilljeborg, 1861",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137112,False,137112,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Eschrichtiidae,136981.0,Eschrichtius,137027.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6422_2011,Cetartiodactyla,370511.0,Eschrichtius robustus,Chordata,1821,Frequency of group sightings per year,boat based survey,Eschrichtius robustus,137112.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2011,no_depth
9554,68d22d95-7934-4b17-ada4-9935594e5f2b,Delphinapterus leucas,"Pallas, 1776",-160.0,58.0,urn:lsid:marinespecies.org:taxname:137115,False,137115,HumanObservation,True,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Monodontidae,136983.0,Delphinapterus,137029.0,United States,"{Trites, 1999 #1136}",Animalia,2,East Bering Sea,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2192_1997,Cetartiodactyla,370511.0,Delphinapterus leucas,Chordata,1821,Number of individuals,Unknown,Delphinapterus leucas,137115.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1997,no_depth
9565,68eec932-b429-440f-9b03-1335a3d345ae,Odobenus rosmarus,"Illiger, 1815",-172.61,53.58111,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,United States,"{Seitz, 1995 #1102}",Animalia,2,Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2217_1987,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Unknown,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1987,no_depth
9568,68fe8268-27e3-44f3-a38d-ed3d5c9a50b4,Eumetopias jubatus,"(Schreber, 1776)",-176.22111,51.80917,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Wynne, 2005 #1118}",Animalia,2,Western Aleutian Islands,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2208_1998,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Aerial surveys,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1998,no_depth
9573,690bccf8-8bdd-4682-8281-8734b2ff99c2,Enhydra lutris,"Linnaeus, 1758",-176.64028,51.78444,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Anthony, 2008 #2297}",Animalia,2,"Adak Island, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9813_1978,Carnivora,2687.0,Enhydra lutris,Chordata,1821,No. of otters/km of coastline,Unknown,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1978,"no_depth,on_land"
9578,691abf81-c8f1-4db7-96fa-2afe302ecde8,Orcinus orca,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137102,False,137102,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Delphinidae,136980.0,Orcinus,137021.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2012_1995,Cetartiodactyla,370511.0,Orcinus orca,Chordata,1821,Individuals,Primary sightings from aerial surveys,Orcinus orca,137102.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1995,no_depth
9586,69224c86-bed3-41a9-8fb4-cad4cc1aa8a3,Balaena mysticetus,"Linnaeus, 1758",-168.74028,63.70389,urn:lsid:marinespecies.org:taxname:137086,False,137086,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenidae,136978.0,Balaena,137012.0,United States,"{Gotthardt, 2006 #1137}",Animalia,2,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock)",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2188_2009,Cetartiodactyla,370511.0,Balaena mysticetus,Chordata,1821,Number of individuals,unspecified,Balaena mysticetus,137086.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2009,no_depth
9591,692d310d-d08c-4a0f-8b6a-1144cf644ac5,Balaenoptera acutorostrata,"LacǸp��de, 1804",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137087,False,137087,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6420_1989,Cetartiodactyla,370511.0,Balaenoptera acutorostrata,Chordata,1821,Frequency of sightings of group per year,boat based survey,Balaenoptera acutorostrata,137087.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1989,no_depth
