,id,scientificName,scientificNameAuthorship,decimalLongitude,decimalLatitude,scientificNameID,absence,aphiaID,basisOfRecord,brackish,category,class,classid,continent,country,dataset_id,family,familyid,genus,genusid,higherGeography,identificationReferences,kingdom,kingdomid,locality,marine,node_id,occurrenceID,order,orderid,originalScientificName,phylum,phylumid,sampleSizeUnit,samplingProtocol,species,speciesid,subphylum,subphylumid,superclass,superclassid,terrestrial,waterBody,year,flags
80,00d696cb-ad25-475f-a50b-ae084545550f,Callorhinus ursinus,"Linnaeus, 1758",-170.24667,57.4,urn:lsid:marinespecies.org:taxname:254997,False,254997,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Callorhinus,254996.0,United States,"{Towell, 2008 #2295}",Animalia,2,"St. Paul Island (in the Pribilof Islands part of the Aleutian Islands), Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4817_1978,Carnivora,2687.0,Callorhinus ursinus,Chordata,1821,number of individuals,Adult male direct count,Callorhinus ursinus,254997.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1978,no_depth
81,00d6f945-16df-4584-bfd0-357c3bde2c40,Eumetopias jubatus,"(Schreber, 1776)",-152.31472,56.16583,urn:lsid:marinespecies.org:taxname:254999,False,254999,HumanObservation,,NT,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Otariidae,231386.0,Eumetopias,254998.0,United States,"{Fritz, 2005 #1123}, Updated with {Allen, 2009 #2291}",Animalia,2,"Western stock, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2211_1964,Carnivora,2687.0,Eumetopias jubatus,Chordata,1821,Number of individuals,Direct observ. Counts,Eumetopias jubatus,254999.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1964,no_depth
83,00e0d5d8-5ebf-4d30-bd21-642e81859281,Megaptera novaeangliae,"Borowski, 1781",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137092,False,137092,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Megaptera,137014.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2009_1964,Cetartiodactyla,370511.0,Megaptera novaeangliae,Chordata,1821,Individuals,Primary sightings from aerial surveys,Megaptera novaeangliae,137092.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1964,no_depth
86,00e5a24c-71e6-4036-b8ba-be52fb60d889,Balaena mysticetus,"Linnaeus, 1758",-165.58333,71.32306,urn:lsid:marinespecies.org:taxname:137086,False,137086,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenidae,136978.0,Balaena,137012.0,United States,"{Angliss, 2006 #1434}",Animalia,2,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock).",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2186_1993,Cetartiodactyla,370511.0,Balaena mysticetus,Chordata,1821,Number of individuals,Estimate from ice based census counts.,Balaena mysticetus,137086.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1993,no_depth
95,00fdf065-6a95-436a-a1a4-0336c3aa64d7,Balaenoptera physalus,"(Linnaeus, 1758)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1947_2008,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,2008,no_depth
99,0100275e-f960-4c88-84df-504e4e91058e,Phoca vitulina,"Linnaeus, 1758",19.90361,63.30278,urn:lsid:marinespecies.org:taxname:137084,False,137084,HumanObservation,True,,Mammalia,1837,Europe,Sweden,19119a0f-92f3-4662-85c5-30f8472067cf,Phocidae,136976.0,Phoca,137010.0,Sweden,"{Normander, 2009 #1846}",Animalia,2,Northern Sweden,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8322_1965,Carnivora,2687.0,Phoca vitulina,Chordata,1821,Number of Individuals,Unknown,Phoca vitulina,137084.0,Vertebrata,146419,Tetrapoda,1831,,Atlantic north temperate,1965,no_depth
113,013632c0-b881-4d16-9f89-4749c624f37c,Balaenoptera borealis,"Lesson, 1828",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137088,False,137088,HumanObservation,,EN,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1943_1956,Cetartiodactyla,370511.0,Balaenoptera borealis,Chordata,1821,Individuals,Primary sightings from aerial surveys,Balaenoptera borealis,137088.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1956,no_depth
115,013b82fd-5090-430a-93a8-a77b8e2017dc,Physeter macrocephalus,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137118,False,137119,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Physeteridae,136985.0,Physeter,137032.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2015_1961,Cetartiodactyla,370511.0,Physeter catodon,Chordata,1821,Individuals,Primary sightings from aerial surveys,Physeter macrocephalus,137119.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1961,no_depth
117,013dd7ca-010a-4cbe-a05a-ffffb96949d3,Enhydra lutris,"Linnaeus, 1758",-162.01667,54.86667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,South Alaskan Peninsula (offshore) from the Ikatan Peninsula to Shumagin Islands,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9805_1952,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Estimated abundance,Arial survey (strip transects),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1952,no_depth
121,01450df6-f876-4b51-a0fb-e6d07af8b187,Globicephala melas,"(Traill, 1809)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137097,False,137097,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Delphinidae,136980.0,Globicephala,137017.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_1951_1952,Cetartiodactyla,370511.0,Globicephala melas,Chordata,1821,Individuals,Primary sightings from aerial surveys,Globicephala melas,137097.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1952,no_depth
